symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
NVDA,2025-01-24,148.37,148.97,141.88,142.62,142.62,234657635,234657635,-5.75,-3.88,145.46,"January 24, 25",-0.0388
NVDA,2025-01-23,145.05,147.23,143.72,147.22,147.22,155915549,155915549,2.17,1.5,145.805,"January 23, 25",0.015
NVDA,2025-01-22,144.66,147.79,143.67,147.07,147.07,237651400,237651400,2.41,1.67,145.7975,"January 22, 25",0.0167
NVDA,2025-01-21,139.16,141.83,137.09,140.83,140.83,197749000,197749000,1.67,1.2,139.7275,"January 21, 25",0.012
NVDA,2025-01-17,136.69,138.5,135.46,137.71,137.71,201188800,201188800,1.02,0.74621,137.09,"January 17, 25",0.0074621
NVDA,2025-01-16,138.64,138.75,133.49,133.57,133.57,209235600,209235600,-5.07,-3.66,136.1125,"January 16, 25",-0.0366
NVDA,2025-01-15,133.65,136.45,131.29,136.24,136.24,185217338,185217338,2.59,1.94,134.4075,"January 15, 25",0.0194
NVDA,2025-01-14,136.05,136.38,130.05,131.76,131.76,195590500,195590500,-4.29,-3.15,133.56,"January 14, 25",-0.0315
NVDA,2025-01-13,129.99,133.49,129.51,133.23,133.23,204808914,204808914,3.24,2.49,131.555,"January 13, 25",0.0249
NVDA,2025-01-10,137.45,139.92,134.22,135.91,135.91,207602514,207602514,-1.54,-1.12,136.875,"January 10, 25",-0.0112
NVDA,2025-01-08,142.58,143.95,137.56,140.11,140.11,227349948,227349948,-2.47,-1.73,141.05,"January 08, 25",-0.0173
NVDA,2025-01-07,153.03,153.13,140.01,140.14,140.14,351782200,351782200,-12.89,-8.42,146.5775,"January 07, 25",-0.0842
NVDA,2025-01-06,148.59,152.16,147.82,149.43,149.43,265377400,265377400,0.84,0.56531,149.5,"January 06, 25",0.0056531
NVDA,2025-01-03,140.01,144.9,139.73,144.47,144.47,229322500,229322500,4.46,3.19,142.2775,"January 03, 25",0.0319
NVDA,2025-01-02,136.0,138.88,134.63,138.31,138.31,198247200,198247200,2.31,1.7,136.955,"January 02, 25",0.017
NVDA,2024-12-31,138.03,138.07,133.83,134.29,134.29,155659211,155659211,-3.74,-2.71,136.055,"December 31, 24",-0.0271
NVDA,2024-12-30,134.83,140.27,134.02,137.49,137.49,167734700,167734700,2.66,1.97,136.6525,"December 30, 24",0.0197
NVDA,2024-12-27,138.55,139.02,134.71,137.01,137.01,170582603,170582603,-1.54,-1.11,137.3225,"December 27, 24",-0.0111
NVDA,2024-12-26,139.7,140.85,137.73,139.93,139.93,116519090,116519090,0.23,0.16464,139.5525,"December 26, 24",0.0016464
NVDA,2024-12-24,140.0,141.9,138.65,140.22,140.22,105157000,105157000,0.22,0.15714,140.1925,"December 24, 24",0.0015714
NVDA,2024-12-23,136.28,139.79,135.12,139.67,139.67,176053506,176053506,3.39,2.49,137.715,"December 23, 24",0.0249
NVDA,2024-12-20,129.81,135.28,128.22,134.7,134.7,306528600,306528600,4.89,3.77,132.0025,"December 20, 24",0.0377
NVDA,2024-12-19,131.76,134.03,129.55,130.68,130.68,209719210,209719210,-1.08,-0.81967,131.505,"December 19, 24",-0.0081967
NVDA,2024-12-18,133.86,136.7,128.28,128.91,128.91,277444533,277444533,-4.95,-3.7,131.9375,"December 18, 24",-0.037
NVDA,2024-12-17,129.09,131.59,126.86,130.39,130.39,259410300,259410300,1.3,1.01,129.4825,"December 17, 24",0.0101
NVDA,2024-12-16,134.18,134.4,130.42,132.0,132.0,237951130,237951130,-2.18,-1.62,132.75,"December 16, 24",-0.0162
NVDA,2024-12-13,138.94,139.6,132.54,134.25,134.25,231514900,231514900,-4.69,-3.38,136.3325,"December 13, 24",-0.0338
NVDA,2024-12-12,137.08,138.44,135.8,137.34,137.34,159211400,159211400,0.26,0.18967,137.165,"December 12, 24",0.0018967
NVDA,2024-12-11,137.36,140.17,135.21,139.31,139.31,184905200,184905200,1.95,1.42,138.0125,"December 11, 24",0.0142
NVDA,2024-12-10,139.01,141.82,133.79,135.07,135.07,210020900,210020900,-3.94,-2.83,137.4225,"December 10, 24",-0.0283
NVDA,2024-12-09,138.97,139.95,137.13,138.81,138.81,189308625,189308625,-0.16,-0.11513,138.715,"December 09, 24",-0.0011513
NVDA,2024-12-06,144.6,145.7,141.31,142.44,142.44,188505600,188505600,-2.16,-1.49,143.5125,"December 06, 24",-0.0149
NVDA,2024-12-05,145.11,146.54,143.95,145.06,145.06,172621200,172621200,-0.05,-0.03445662,145.165,"December 05, 24",-0.0003445662
NVDA,2024-12-04,142.0,145.79,140.29,145.14,145.13,231224300,231224300,3.14,2.21,143.305,"December 04, 24",0.0221
NVDA,2024-12-03,138.26,140.54,137.95,140.26,140.25,164414000,164414000,2.0,1.45,139.2525,"December 03, 24",0.0145
NVDA,2024-12-02,138.83,140.45,137.82,138.63,138.62,171682800,171682800,-0.2,-0.14406,138.9325,"December 02, 24",-0.0014406
NVDA,2024-11-29,136.78,139.35,136.05,138.25,138.24,141863200,141863200,1.47,1.07,137.6075,"November 29, 24",0.0107
NVDA,2024-11-27,135.01,137.22,131.8,135.34,135.33,226370912,226370912,0.33,0.24443,134.8425,"November 27, 24",0.0024443
NVDA,2024-11-26,137.7,139.3,135.67,136.92,136.91,190287700,190287700,-0.78,-0.56645,137.3975,"November 26, 24",-0.0056645
NVDA,2024-11-25,141.99,142.05,135.82,136.02,136.01,344941900,344941900,-5.97,-4.2,138.97,"November 25, 24",-0.042
NVDA,2024-11-22,145.93,147.16,141.1,141.95,141.94,236406200,236406200,-3.98,-2.73,144.035,"November 22, 24",-0.0273
NVDA,2024-11-21,149.35,152.89,140.7,146.67,146.66,400946600,400946600,-2.68,-1.79,147.4025,"November 21, 24",-0.0179
NVDA,2024-11-20,147.41,147.56,142.73,145.89,145.88,309871700,309871700,-1.52,-1.03,145.8975,"November 20, 24",-0.0103
NVDA,2024-11-19,141.32,147.13,140.99,147.01,147.0,227834912,227834912,5.69,4.03,144.1125,"November 19, 24",0.0403
NVDA,2024-11-18,139.5,141.55,137.15,140.15,140.14,221866000,221866000,0.65,0.46595,139.5875,"November 18, 24",0.0046595
NVDA,2024-11-15,144.87,145.24,140.08,141.98,141.97,250132900,250132900,-2.89,-1.99,143.0425,"November 15, 24",-0.0199
NVDA,2024-11-14,147.64,149.0,145.55,146.76,146.75,194463301,194463301,-0.88,-0.59604,147.2375,"November 14, 24",-0.0059604
NVDA,2024-11-13,149.07,149.33,145.9,146.27,146.26,191903300,191903300,-2.8,-1.88,147.6425,"November 13, 24",-0.0188
NVDA,2024-11-12,146.78,149.65,146.01,148.29,148.28,198634738,198634738,1.51,1.03,147.6825,"November 12, 24",0.0103
NVDA,2024-11-11,148.68,148.85,143.57,145.26,145.25,182325620,182325620,-3.42,-2.3,146.59,"November 11, 24",-0.023
NVDA,2024-11-08,148.77,149.77,146.26,147.63,147.62,175665830,175665830,-1.14,-0.76628,148.1075,"November 08, 24",-0.0076628
NVDA,2024-11-07,146.39,148.93,146.17,148.88,148.87,207323303,207323303,2.49,1.7,147.5925,"November 07, 24",0.017
NVDA,2024-11-06,142.96,146.49,141.96,145.61,145.6,242043945,242043945,2.65,1.85,144.255,"November 06, 24",0.0185
NVDA,2024-11-05,137.45,140.37,137.33,139.91,139.9,160537400,160537400,2.46,1.79,138.765,"November 05, 24",0.0179
NVDA,2024-11-04,137.21,138.96,135.57,136.05,136.04,187528200,187528200,-1.16,-0.84542,136.9475,"November 04, 24",-0.0084542
NVDA,2024-11-01,134.7,137.31,134.57,135.4,135.39,207127838,207127838,0.7,0.51967,135.495,"November 01, 24",0.0051967
NVDA,2024-10-31,137.6,137.61,132.11,132.76,132.75,270039641,270039641,-4.84,-3.52,135.02,"October 31, 24",-0.0352
NVDA,2024-10-30,139.54,140.33,136.81,139.34,139.33,179418100,179418100,-0.205,-0.14333,139.005,"October 30, 24",-0.0014333
NVDA,2024-10-29,140.29,142.26,138.9,141.25,141.24,157593634,157593634,0.965,0.6843,140.675,"October 29, 24",0.006843
NVDA,2024-10-28,143.0,143.14,140.05,140.52,140.51,173586745,173586745,-2.48,-1.73,141.6775,"October 28, 24",-0.0173
NVDA,2024-10-25,140.93,144.13,140.8,141.54,141.53,205122109,205122109,0.61,0.43284,141.85,"October 25, 24",0.0043284
NVDA,2024-10-24,140.82,141.35,138.46,140.41,140.4,172354900,172354900,-0.41,-0.29115,140.26,"October 24, 24",-0.0029115
NVDA,2024-10-23,142.03,142.43,137.46,139.56,139.55,285930038,285930038,-2.47,-1.74,140.37,"October 23, 24",-0.0174
NVDA,2024-10-22,142.91,144.42,141.78,143.59,143.58,226311600,226311600,0.68,0.47582,143.175,"October 22, 24",0.0047582
NVDA,2024-10-21,138.13,143.71,138.0,143.71,143.7,264554514,264554514,5.58,4.04,140.8875,"October 21, 24",0.0404
NVDA,2024-10-18,138.67,138.9,137.28,138.0,137.99,176090200,176090200,-0.665,-0.48316,138.2125,"October 18, 24",-0.0048316
NVDA,2024-10-17,139.34,140.89,136.87,136.93,136.92,306435921,306435921,-2.41,-1.73,138.5075,"October 17, 24",-0.0173
NVDA,2024-10-16,133.98,136.62,131.58,135.72,135.71,264879720,264879720,1.74,1.3,134.475,"October 16, 24",0.013
NVDA,2024-10-15,137.87,138.57,128.74,131.6,131.59,377831021,377831021,-6.27,-4.55,134.195,"October 15, 24",-0.0455
NVDA,2024-10-14,136.47,139.6,136.3,138.07,138.06,232347700,232347700,1.6,1.17,137.61,"October 14, 24",0.0117
NVDA,2024-10-11,134.01,135.78,133.66,134.8,134.79,170209500,170209500,0.79,0.58951,134.5625,"October 11, 24",0.0058951
NVDA,2024-10-10,131.91,135.0,131.0,134.81,134.8,242311337,242311337,2.9,2.2,133.18,"October 10, 24",0.022
NVDA,2024-10-09,134.11,134.52,131.38,132.65,132.64,246191612,246191612,-1.46,-1.09,133.165,"October 09, 24",-0.0109
NVDA,2024-10-08,130.26,133.48,129.42,132.89,132.88,285722500,285722500,2.63,2.02,131.5125,"October 08, 24",0.0202
NVDA,2024-10-07,124.99,130.64,124.95,127.72,127.71,346250233,346250233,2.73,2.18,127.075,"October 07, 24",0.0218
NVDA,2024-10-04,124.94,125.04,121.83,124.92,124.91,244465552,244465552,-0.02,-0.01600768,124.1825,"October 04, 24",-0.0001600768
NVDA,2024-10-03,120.92,124.36,120.34,122.85,122.84,277118000,277118000,1.93,1.6,122.1175,"October 03, 24",0.016
NVDA,2024-10-02,116.44,119.38,115.14,118.85,118.84,221845900,221845900,2.41,2.07,117.4525,"October 02, 24",0.0207
NVDA,2024-10-01,121.77,122.44,115.79,117.0,116.99,302094500,302094500,-4.77,-3.92,119.25,"October 01, 24",-0.0392
NVDA,2024-09-30,118.31,121.5,118.15,121.44,121.43,227053651,227053651,3.13,2.65,119.85,"September 30, 24",0.0265
NVDA,2024-09-27,123.97,124.03,119.26,121.4,121.39,271009200,271009200,-2.57,-2.07,122.165,"September 27, 24",-0.0207
NVDA,2024-09-26,126.8,127.67,121.8,124.04,124.03,302582900,302582900,-2.76,-2.18,125.0775,"September 26, 24",-0.0218
NVDA,2024-09-25,122.02,124.94,121.61,123.51,123.5,284692948,284692948,1.49,1.22,123.02,"September 25, 24",0.0122
NVDA,2024-09-24,116.52,121.8,115.38,120.87,120.86,354966800,354966800,4.36,3.73,118.6425,"September 24, 24",0.0373
NVDA,2024-09-23,116.55,116.99,114.86,116.26,116.25,206228500,206228500,-0.29,-0.24882,116.165,"September 23, 24",-0.0024882
NVDA,2024-09-20,117.06,118.62,115.39,116.0,115.99,382462428,382462428,-1.06,-0.90552,116.7675,"September 20, 24",-0.0090552
NVDA,2024-09-19,117.35,119.66,117.25,117.87,117.86,293506438,293506438,0.52,0.44312,118.0325,"September 19, 24",0.0044312
NVDA,2024-09-18,115.89,117.7,113.22,113.37,113.36,310318937,310318937,-2.52,-2.17,115.045,"September 18, 24",-0.0217
NVDA,2024-09-17,118.17,118.8,114.83,115.59,115.58,231925900,231925900,-2.58,-2.18,116.8475,"September 17, 24",-0.0218
NVDA,2024-09-16,116.79,118.18,114.36,116.78,116.77,248772308,248772308,-0.01,-0.00856238,116.5275,"September 16, 24",-8.56238e-05
NVDA,2024-09-13,119.08,119.96,117.6,119.1,119.09,238358328,238358328,0.02,0.01679543,118.935,"September 13, 24",0.0001679543
NVDA,2024-09-12,116.84,120.79,115.38,119.14,119.13,367100500,367100500,2.3,1.97,118.0375,"September 12, 24",0.0197
NVDA,2024-09-11,109.39,117.19,107.42,116.91,116.89,441422400,441422400,7.52,6.87,112.7275,"September 11, 24",0.0687
NVDA,2024-09-10,107.81,109.4,104.95,108.1,108.08,268283736,268283736,0.29,0.26899,107.565,"September 10, 24",0.0026899
NVDA,2024-09-09,104.88,106.55,103.69,106.47,106.45,273912015,273912015,1.59,1.52,105.3975,"September 09, 24",0.0152
NVDA,2024-09-06,108.04,108.15,100.95,102.83,102.81,413638100,413638100,-5.21,-4.82,104.9925,"September 06, 24",-0.0482
NVDA,2024-09-05,104.99,109.65,104.76,107.21,107.19,306850700,306850700,2.22,2.11,106.6525,"September 05, 24",0.0211
NVDA,2024-09-04,105.41,113.27,104.12,106.21,106.19,372470300,372470300,0.8,0.75894,107.2525,"September 04, 24",0.0075894
NVDA,2024-09-03,116.01,116.21,107.29,108.0,107.98,477155100,477155100,-8.01,-6.9,111.8775,"September 03, 24",-0.069
NVDA,2024-08-30,119.53,121.75,117.22,119.37,119.35,333751600,333751600,-0.16,-0.13386,119.4675,"August 30, 24",-0.0013386
NVDA,2024-08-29,121.36,124.43,116.71,117.59,117.57,453023305,453023305,-3.77,-3.11,120.0225,"August 29, 24",-0.0311
NVDA,2024-08-28,128.12,128.33,122.64,125.61,125.59,448101115,448101115,-2.51,-1.96,126.175,"August 28, 24",-0.0196
NVDA,2024-08-27,125.05,129.2,123.88,128.3,128.28,303134600,303134600,3.25,2.6,126.6075,"August 27, 24",0.026
NVDA,2024-08-26,129.57,131.26,124.37,126.46,126.44,331964700,331964700,-3.11,-2.4,127.915,"August 26, 24",-0.024
NVDA,2024-08-23,125.86,129.6,125.22,129.37,129.35,323230332,323230332,3.51,2.79,127.5125,"August 23, 24",0.0279
NVDA,2024-08-22,130.02,130.75,123.1,123.74,123.72,376189100,376189100,-6.28,-4.83,126.9025,"August 22, 24",-0.0483
NVDA,2024-08-21,127.32,129.35,126.66,128.5,128.48,257883600,257883600,1.19,0.9268,127.9575,"August 21, 24",0.009268
NVDA,2024-08-20,128.4,129.88,125.89,127.25,127.23,300087415,300087415,-1.15,-0.89564,127.855,"August 20, 24",-0.0089564
NVDA,2024-08-19,124.28,130.0,123.42,130.0,129.98,318333600,318333600,5.72,4.6,126.925,"August 19, 24",0.046
NVDA,2024-08-16,121.94,125.0,121.18,124.58,124.56,302589900,302589900,2.64,2.16,123.175,"August 16, 24",0.0216
NVDA,2024-08-15,118.76,123.24,117.47,122.86,122.84,318086700,318086700,4.1,3.45,120.5825,"August 15, 24",0.0345
NVDA,2024-08-14,118.53,118.6,114.07,118.08,118.06,339246407,339246407,-0.45,-0.37965,117.32,"August 14, 24",-0.0037965
NVDA,2024-08-13,112.44,116.23,111.58,116.14,116.12,312646700,312646700,3.7,3.29,114.0975,"August 13, 24",0.0329
NVDA,2024-08-12,106.32,111.07,106.26,109.02,109.0,325559900,325559900,2.7,2.54,108.1675,"August 12, 24",0.0254
NVDA,2024-08-09,105.64,106.6,103.43,104.75,104.73,290844200,290844200,-0.89,-0.84248,105.105,"August 09, 24",-0.0084248
NVDA,2024-08-08,102.0,105.5,97.52,104.97,104.95,391910023,391910023,2.97,2.91,102.4975,"August 08, 24",0.0291
NVDA,2024-08-07,107.81,108.8,98.69,98.91,98.89,411440423,411440423,-8.9,-8.26,103.5525,"August 07, 24",-0.0826
NVDA,2024-08-06,103.84,107.71,100.55,104.25,104.23,409012100,409012100,0.41,0.39484,104.0875,"August 06, 24",0.0039484
NVDA,2024-08-05,92.06,103.41,90.69,100.45,100.43,552842400,552842400,8.39,9.11,96.6525,"August 05, 24",0.0911
NVDA,2024-08-02,103.76,108.72,101.37,107.27,107.25,482027500,482027500,3.51,3.38,105.28,"August 02, 24",0.0338
NVDA,2024-08-01,117.53,120.16,106.81,109.21,109.19,523462326,523462326,-8.32,-7.08,113.4275,"August 01, 24",-0.0708
NVDA,2024-07-31,112.9,118.34,110.88,117.02,117.0,473174200,473174200,4.12,3.65,114.785,"July 31, 24",0.0365
NVDA,2024-07-30,111.52,111.99,102.54,103.73,103.71,486833300,486833300,-7.79,-6.99,107.445,"July 30, 24",-0.0699
NVDA,2024-07-29,113.69,116.28,111.3,111.59,111.57,248152100,248152100,-2.1,-1.85,113.215,"July 29, 24",-0.0185
NVDA,2024-07-26,116.19,116.2,111.58,113.06,113.04,293399100,293399100,-3.13,-2.69,114.2575,"July 26, 24",-0.0269
NVDA,2024-07-25,113.04,116.63,106.3,112.28,112.26,460067019,460067019,-0.76,-0.67233,112.0625,"July 25, 24",-0.0067233
NVDA,2024-07-24,119.17,119.95,113.44,114.25,114.23,327776900,327776900,-4.92,-4.13,116.7025,"July 24, 24",-0.0413
NVDA,2024-07-23,122.78,124.69,122.1,122.59,122.57,173911000,173911000,-0.19,-0.15475,123.04,"July 23, 24",-0.0015475
NVDA,2024-07-22,120.35,124.07,119.86,123.54,123.52,258068943,258068943,3.19,2.65,121.955,"July 22, 24",0.0265
NVDA,2024-07-19,120.35,121.6,117.37,117.93,117.91,217223800,217223800,-2.42,-2.01,119.3125,"July 19, 24",-0.0201
NVDA,2024-07-18,121.85,122.4,116.56,121.09,121.07,320979530,320979530,-0.76,-0.62372,120.475,"July 18, 24",-0.0062372
NVDA,2024-07-17,121.35,121.85,116.72,117.99,117.97,390086200,390086200,-3.36,-2.77,119.4775,"July 17, 24",-0.0277
NVDA,2024-07-16,128.44,129.04,124.58,126.36,126.34,214769515,214769515,-2.08,-1.62,127.105,"July 16, 24",-0.0162
NVDA,2024-07-15,130.56,131.39,127.18,128.44,128.42,208326200,208326200,-2.12,-1.62,129.3925,"July 15, 24",-0.0162
NVDA,2024-07-12,128.26,131.92,127.22,129.24,129.22,252680535,252680535,0.98,0.76407,129.16,"July 12, 24",0.0076407
NVDA,2024-07-11,135.75,136.15,127.05,127.4,127.38,374782738,374782738,-8.35,-6.15,131.5875,"July 11, 24",-0.0615
NVDA,2024-07-10,134.03,135.1,132.42,134.91,134.89,248978600,248978600,0.88,0.65657,134.115,"July 10, 24",0.0065657
NVDA,2024-07-09,130.35,133.82,128.65,131.38,131.36,287020820,287020820,1.03,0.79018,131.05,"July 09, 24",0.0079018
NVDA,2024-07-08,127.49,130.77,127.04,128.2,128.18,237677322,237677322,0.71,0.55691,128.375,"July 08, 24",0.0055691
NVDA,2024-07-05,127.38,128.85,125.68,125.83,125.81,214176700,214176700,-1.55,-1.22,126.935,"July 05, 24",-0.0122
NVDA,2024-07-03,121.66,128.28,121.36,128.28,128.26,215749000,215749000,6.62,5.44,124.895,"July 03, 24",0.0544
NVDA,2024-07-02,121.13,123.41,121.03,122.67,122.65,218374000,218374000,1.54,1.27,122.06,"July 02, 24",0.0127
NVDA,2024-07-01,123.47,124.84,118.83,124.3,124.28,284885534,284885534,0.83,0.67223,122.86,"July 01, 24",0.0067223
NVDA,2024-06-28,124.58,127.71,122.75,123.54,123.52,315516740,315516740,-1.04,-0.8348,124.645,"June 28, 24",-0.008348
NVDA,2024-06-27,124.1,126.41,122.92,123.99,123.97,252571700,252571700,-0.11,-0.0886382,124.355,"June 27, 24",-0.000886382
NVDA,2024-06-26,126.13,128.12,122.6,126.4,126.38,362975918,362975918,0.27,0.21406,125.8125,"June 26, 24",0.0021406
NVDA,2024-06-25,121.2,126.5,119.32,126.09,126.07,425787500,425787500,4.89,4.03,123.2775,"June 25, 24",0.0403
NVDA,2024-06-24,123.24,124.46,118.04,118.11,118.09,476060900,476060900,-5.13,-4.16,120.9625,"June 24, 24",-0.0416
NVDA,2024-06-21,127.12,130.63,124.3,126.57,126.55,655484700,655484700,-0.55,-0.43266,127.155,"June 21, 24",-0.0043266
NVDA,2024-06-20,139.8,140.76,129.52,130.78,130.76,517768425,517768425,-9.02,-6.45,135.215,"June 20, 24",-0.0645
NVDA,2024-06-18,131.14,136.33,130.69,135.58,135.56,294335100,294335100,4.44,3.39,133.435,"June 18, 24",0.0339
NVDA,2024-06-17,132.99,133.73,129.58,130.98,130.96,288504444,288504444,-2.01,-1.51,131.82,"June 17, 24",-0.0151
NVDA,2024-06-14,129.96,132.84,128.32,131.88,131.86,309320400,309320400,1.92,1.48,130.75,"June 14, 24",0.0148
NVDA,2024-06-13,129.39,129.8,127.16,129.61,129.59,260704537,260704537,0.22,0.17003,128.99,"June 13, 24",0.0017003
NVDA,2024-06-12,123.06,126.88,122.57,125.2,125.18,299595001,299595001,2.14,1.74,124.4275,"June 12, 24",0.0174
NVDA,2024-06-11,121.77,122.87,118.74,120.91,120.89,222551200,222551200,-0.86,-0.70625,121.0725,"June 11, 24",-0.0070625
NVDA,2024-06-10,120.37,123.1,117.01,121.79,121.76,314162700,314162700,1.42,1.18,120.5675,"June 10, 24",0.0118
NVDA,2024-06-07,119.77,121.69,118.02,120.89,120.86,412386000,412386000,1.12,0.93513,120.0925,"June 07, 24",0.0093513
NVDA,2024-06-06,124.05,125.59,118.32,121.0,120.97,664696190,664696190,-3.05,-2.46,122.24,"June 06, 24",-0.0246
NVDA,2024-06-05,118.37,122.45,117.47,122.44,122.41,528402000,528402000,4.07,3.44,120.1825,"June 05, 24",0.0344
NVDA,2024-06-04,115.72,116.6,114.05,116.44,116.41,403324010,403324010,0.721,0.62219,115.7025,"June 04, 24",0.0062219
NVDA,2024-06-03,113.62,115.0,112.0,115.0,114.97,438392000,438392000,1.38,1.21,113.905,"June 03, 24",0.0121
